Geography,Period,2020Units,2021Units,2022Units,2023Units,2020Dollars,2021Dollars,2022Dollars,2023Dollars,2020ASP,2021ASP,2022ASP,2023ASP
Total U.S.,1,193716227.0,204264892.7,162585783.0,169761056.5,186384248.3,190571271.8,204974123.0,176028113.3,0.962150932,0.932961457,1.260713693,1.036916929
Total U.S.,2,167478433.7,209960919.7,171581445.7,177325916.2,178709336.9,189459258.1,221506804.5,179134236.0,1.067058803,0.902354869,1.290971781,1.010197719
Total U.S.,3,176882274.9,194525882.7,149325877.3,174021676.0,216132586.1,196754282.5,210335915.7,173999277.8,1.22190076,1.011455544,1.408569764,0.999871291
Total U.S.,4,184998785.2,181530343.5,152694485.1,173137933.1,227587639.3,212087765.0,220713727.9,179758886.2,1.230211534,1.168332307,1.445459721,1.038240915
Total U.S.,5,213395671.2,193165563.4,154431703.1,180601049.7,247560362.2,215769774.7,231567334.9,187990158.6,1.160100207,1.117019882,1.499480549,1.040913986
Total U.S.,6,206834060.5,184140053.7,146974774.7,169155884.9,234511516.5,212467140.7,226077848.7,182279120.0,1.133814788,1.153834467,1.538208506,1.077580719
Total U.S.,7,198499962.8,184697630.8,144988303.3,158123965.8,218277644.6,202547377.8,214489658.5,185258957.9,1.099635695,1.096643075,1.47935836,1.171605815
Total U.S.,8,190574137.3,173144965.8,149137933.3,148021387.4,200528848.2,190824355.4,200651577.8,185167852.9,1.052235371,1.102107442,1.345409402,1.250953366
Total U.S.,9,187953345.7,167475049.3,150891143.6,155988480.4,190417207.4,188775413.0,186740672.6,180376169.3,1.0131089,1.127185296,1.237585375,1.156342884
Total U.S.,10,176891861.3,157607449.0,144322087.2,148110964.8,178478566.4,187241899.7,169350228.4,167046376.0,1.008969916,1.188026967,1.173418647,1.127846113
Total U.S.,11,173386224.1,158606903.9,148298467.9,144818272.7,168011056.8,181382643.7,163531132.7,162810922.9,0.968998879,1.143598666,1.102716266,1.124242955
Total U.S.,12,158743119.7,149240536.2,138671364.7,137542892.5,152002824.7,171407271.8,151716381.6,153139085.3,0.957539609,1.14853026,1.094071454,1.113391485
Total U.S.,13,172297863.9,158543427.5,147149882.0,148855771.3,155929091.7,179034432.2,152392713.9,156723315.6,0.904997242,1.129245375,1.035629195,1.052853472
