Geography,Period,Year,Units,Dollars,ASP
Total U.S.,1,2020,193716227.0,186384248.3,0.962150932
Total U.S.,2,2020,167478433.7,178709336.9,1.067058803
Total U.S.,3,2020,176882274.9,216132586.1,1.22190076
Total U.S.,4,2020,184998785.2,227587639.3,1.230211534
Total U.S.,5,2020,213395671.2,247560362.2,1.160100207
Total U.S.,6,2020,206834060.5,234511516.5,1.133814788
Total U.S.,7,2020,198499962.8,218277644.6,1.099635695
Total U.S.,8,2020,190574137.3,200528848.2,1.052235371
Total U.S.,9,2020,187953345.7,190417207.4,1.0131089
Total U.S.,10,2020,176891861.3,178478566.4,1.008969916
Total U.S.,11,2020,173386224.1,168011056.8,0.968998879
Total U.S.,12,2020,158743119.7,152002824.7,0.957539609
Total U.S.,13,2020,172297863.9,155929091.7,0.904997242
Total U.S.,1,2021,204264892.7,190571271.8,0.932961457
Total U.S.,2,2021,209960919.7,189459258.1,0.902354869
Total U.S.,3,2021,194525882.7,196754282.5,1.011455544
Total U.S.,4,2021,181530343.5,212087765.0,1.168332307
Total U.S.,5,2021,193165563.4,215769774.7,1.117019882
Total U.S.,6,2021,184140053.7,212467140.7,1.153834467
Total U.S.,7,2021,184697630.8,202547377.8,1.096643075
Total U.S.,8,2021,173144965.8,190824355.4,1.102107442
Total U.S.,9,2021,167475049.3,188775413.0,1.127185296
Total U.S.,10,2021,157607449.0,187241899.7,1.188026967
Total U.S.,11,2021,158606903.9,181382643.7,1.143598666
Total U.S.,12,2021,149240536.2,171407271.8,1.14853026
Total U.S.,13,2021,158543427.5,179034432.2,1.129245375
Total U.S.,1,2022,162585783.0,204974123.0,1.260713693
Total U.S.,2,2022,171581445.7,221506804.5,1.290971781
Total U.S.,3,2022,149325877.3,210335915.7,1.408569764
Total U.S.,4,2022,152694485.1,220713727.9,1.445459721
Total U.S.,5,2022,154431703.1,231567334.9,1.499480549
Total U.S.,6,2022,146974774.7,226077848.7,1.538208506
Total U.S.,7,2022,144988303.3,214489658.5,1.47935836
Total U.S.,8,2022,149137933.3,200651577.8,1.345409402
Total U.S.,9,2022,150891143.6,186740672.6,1.237585375
Total U.S.,10,2022,144322087.2,169350228.4,1.173418647
Total U.S.,11,2022,148298467.9,163531132.7,1.102716266
Total U.S.,12,2022,138671364.7,151716381.6,1.094071454
Total U.S.,13,2022,147149882.0,152392713.9,1.035629195
Total U.S.,1,2023,169761056.5,176028113.3,1.036916929
Total U.S.,2,2023,177325916.2,179134236.0,1.010197719
Total U.S.,3,2023,174021676.0,173999277.8,0.999871291
Total U.S.,4,2023,173137933.1,179758886.2,1.038240915
Total U.S.,5,2023,180601049.7,187990158.6,1.040913986
Total U.S.,6,2023,169155884.9,182279120.0,1.077580719
Total U.S.,7,2023,158123965.8,185258957.9,1.171605815
Total U.S.,8,2023,148021387.4,185167852.9,1.250953366
Total U.S.,9,2023,155988480.4,180376169.3,1.156342884
Total U.S.,10,2023,148110964.8,167046376.0,1.127846113
Total U.S.,11,2023,144818272.7,162810922.9,1.124242955
Total U.S.,12,2023,137542892.5,153139085.3,1.113391485
Total U.S.,13,2023,148855771.3,156723315.6,1.052853472
